name_common,year_ID,team_ID
Matt Andriese,2019,ARI
Alex Avila,2019,ARI
Archie Bradley,2019,ARI
Andrew Chafin,2019,ARI
Taylor Clarke,2019,ARI
Stefan Crichton,2019,ARI
Jon Duplantier,2019,ARI
Zac Gallen,2019,ARI
Kevin Ginkel,2019,ARI
Zack Godley,2019,ARI
Zack Greinke,2019,ARI
Yoshihisa Hirano,2019,ARI
Greg Holland,2019,ARI
Caleb Joseph,2019,ARI
Merrill Kelly,2019,ARI
Matt Koch,2019,ARI
Mike Leake,2019,ARI
Yoan López,2019,ARI
T.J. McFarland,2019,ARI
John Ryan Murphy,2019,ARI
Joel Payamps,2019,ARI
Robbie Ray,2019,ARI
Robby Scott,2019,ARI
James Sherfy,2019,ARI
Taijuan Walker,2019,ARI
Luke Weaver,2019,ARI
Alex Young,2019,ARI
Jesse Biddle,2019,ATL
Jerry Blevins,2019,ATL
Shane Carle,2019,ATL
Charlie Culberson,2019,ATL
Grant Dayton,2019,ATL
Mike Foltynewicz,2019,ATL
Max Fried,2019,ATL
Kevin Gausman,2019,ATL
Shane Greene,2019,ATL
Luke Jackson,2019,ATL
Dallas Keuchel,2019,ATL
Chris Martin,2019,ATL
Mark Melancon,2019,ATL
A.J. Minter,2019,ATL
John Ryan Murphy,2019,ATL
Sean Newcomb,2019,ATL
Darren O'Day,2019,ATL
Wes Parsons,2019,ATL
Chad Sobotka,2019,ATL
Michael Soroka,2019,ATL
Anthony Swarzak,2019,ATL
Julio Teheran,2019,ATL
Josh Tomlin,2019,ATL
Touki Toussaint,2019,ATL
Jonny Venters,2019,ATL
Arodys Vizcaíno,2019,ATL
Jeremy Walker,2019,ATL
Jacob Webb,2019,ATL
Bryse Wilson,2019,ATL
Dan Winkler,2019,ATL
Kyle Wright,2019,ATL
Huascar Ynoa,2019,ATL
Hanser Alberto,2019,BAL
Pedro Araújo,2019,BAL
Shawn Armstrong,2019,BAL
Ty Blach,2019,BAL
Richard Bleier,2019,BAL
Aaron Brooks,2019,BAL
Dylan Bundy,2019,BAL
Andrew Cashner,2019,BAL
Miguel Castro,2019,BAL
Alex Cobb,2019,BAL
Chris Davis,2019,BAL
Ryan Eades,2019,BAL
Thomas Eshelman,2019,BAL
Paul Fry,2019,BAL
Sean Gilmartin,2019,BAL
Mychal Givens,2019,BAL
Hunter Harvey,2019,BAL
David Hess,2019,BAL
Nate Karns,2019,BAL
Branden Kline,2019,BAL
Josh Lucas,2019,BAL
John Means,2019,BAL
Luis Ortiz,2019,BAL
Evan Phillips,2019,BAL
Yefry Ramírez,2019,BAL
Josh Rogers,2019,BAL
José Rondon,2019,BAL
Tanner Scott,2019,BAL
Tayler Scott,2019,BAL
Chandler Shepherd,2019,BAL
Dan Straily,2019,BAL
Jesús Sucre,2019,BAL
Dillon Tate,2019,BAL
Stevie Wilkerson,2019,BAL
Asher Wojciechowski,2019,BAL
Matt Wotherspoon,2019,BAL
Mike Wright Jr.,2019,BAL
Jimmy Yacabonis,2019,BAL
Gabriel Ynoa,2019,BAL
Matt Barnes,2019,BOS
Ryan Brasier,2019,BOS
Colten Brewer,2019,BOS
Andrew Cashner,2019,BOS
Jhoulys Chacín,2019,BOS
Nathan Eovaldi,2019,BOS
Heath Hembree,2019,BOS
Darwinzon Hernández,2019,BOS
Brian Johnson,2019,BOS
Trevor Kelley,2019,BOS
Travis Lakins Sr.,2019,BOS
Eduardo Núñez,2019,BOS
Chris Owings,2019,BOS
Rick Porcello,2019,BOS
Bobby Poyner,2019,BOS
David Price,2019,BOS
Erasmo Ramírez,2019,BOS
Eduardo Rodriguez,2019,BOS
Chris Sale,2019,BOS
Mike Shawaryn,2019,BOS
Josh A. Smith,2019,BOS
Josh Taylor,2019,BOS
Tyler Thornburg,2019,BOS
Hector Velázquez,2019,BOS
Marcus Walden,2019,BOS
Ryan Weber,2019,BOS
Brandon Workman,2019,BOS
Steven Wright,2019,BOS
Adbert Alzolay,2019,CHC
Tony Barnette,2019,CHC
Brad Brach,2019,CHC
Victor Caratini,2019,CHC
Xavier Cedeño,2019,CHC
Tyler Chatwood,2019,CHC
Steve Cishek,2019,CHC
Tim Collins,2019,CHC
Yu Darvish,2019,CHC
Taylor Davis,2019,CHC
Daniel Descalso,2019,CHC
Carl Edwards Jr.,2019,CHC
Cole Hamels,2019,CHC
Kyle Hendricks,2019,CHC
Derek Holland,2019,CHC
Danny Hultzen,2019,CHC
Craig Kimbrel,2019,CHC
Brandon Kintzler,2019,CHC
Jon Lester,2019,CHC
Dillon Maples,2019,CHC
Alec Mills,2019,CHC
Mike Montgomery,2019,CHC
James Norwood,2019,CHC
David Phelps,2019,CHC
José Quintana,2019,CHC
Randy Rosario,2019,CHC
Kyle Ryan,2019,CHC
Pedro Strop,2019,CHC
Duane Underwood Jr.,2019,CHC
Allen Webster,2019,CHC
Rowan Wick,2019,CHC
Brad Wieck,2019,CHC
Ben Zobrist,2019,CHC
Manny Banuelos,2019,CHW
Aaron Bummer,2019,CHW
Ryan Burr,2019,CHW
Dylan Cease,2019,CHW
Alex Colomé,2019,CHW
Jimmy Cordero,2019,CHW
Dylan Covey,2019,CHW
Odrisamer Despaigne,2019,CHW
Ross Detwiler,2019,CHW
Caleb Frare,2019,CHW
Jace Fry,2019,CHW
Carson Fulmer,2019,CHW
Lucas Giolito,2019,CHW
Kelvin Herrera,2019,CHW
Nate Jones,2019,CHW
Reynaldo López,2019,CHW
Evan Marshall,2019,CHW
Juan Minaya,2019,CHW
Iván Nova,2019,CHW
Josh Osich,2019,CHW
AJ Reed,2019,CHW
Carlos Rodón,2019,CHW
José Rondon,2019,CHW
José Ruiz,2019,CHW
Ervin Santana,2019,CHW
Héctor Santiago,2019,CHW
Thyago Vieira,2019,CHW
R.J. Alaniz,2019,CIN
Trevor Bauer,2019,CIN
Matt Bowman,2019,CIN
Luis Castillo,2019,CIN
Anthony DeSclafani,2019,CIN
Zach Duke,2019,CIN
Kyle Farmer,2019,CIN
Amir Garrett,2019,CIN
Kevin Gausman,2019,CIN
Sonny Gray,2019,CIN
Jimmy Herget,2019,CIN
David Hernandez,2019,CIN
Jared Hughes,2019,CIN
Raisel Iglesias,2019,CIN
Joel Kuhnel,2019,CIN
Michael Lorenzen,2019,CIN
Tyler Mahle,2019,CIN
Keury Mella,2019,CIN
Wandy Peralta,2019,CIN
José Peraza,2019,CIN
Cody Reed,2019,CIN
Tanner Roark,2019,CIN
Sal Romano,2019,CIN
Lucas Sims,2019,CIN
Robert Stephenson,2019,CIN
Alex Wood,2019,CIN
Logan Allen,2019,CLE
Cody Anderson,2019,CLE
Trevor Bauer,2019,CLE
Shane Bieber,2019,CLE
Carlos Carrasco,2019,CLE
Adam Cimber,2019,CLE
Aaron Civale,2019,CLE
Mike Clevinger,2019,CLE
Tyler Clippard,2019,CLE
A.J. Cole,2019,CLE
Jon Edwards,2019,CLE
Mike Freeman,2019,CLE
Nick Goody,2019,CLE
Brad Hand,2019,CLE
James Hoyt,2019,CLE
James Karinchak,2019,CLE
Corey Kluber,2019,CLE
Phil Maton,2019,CLE
Tyler Olson,2019,CLE
Dan Otero,2019,CLE
Oliver Pérez,2019,CLE
Kevin Plawecki,2019,CLE
Zach Plesac,2019,CLE
Adam Plutko,2019,CLE
